Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Total Shares Traded,Total Value Traded (GH¢)
2024-12-30,MTNGH,2.5,1.39,2.5,2.5,2.5,2.5,0.0,136283.0,340707.5
2024-12-31,MTNGH,2.5,1.39,2.5,2.5,2.5,2.5,0.0,90298.0,225745.0
2025-01-02,MTNGH,2.5,2.5,2.5,2.5,2.5,2.5,0.0,62626.0,156565.0
2025-01-03,MTNGH,2.5,2.5,2.5,2.5,2.5,2.5,0.0,661370.0,1653425.0
2025-01-06,MTNGH,2.5,2.5,2.5,2.5,2.5,2.5,0.0,67103.0,167757.5
2025-01-08,MTNGH,2.51,2.5,2.5,2.5,2.51,2.51,0.01,51034.0,127842.1
2025-01-09,MTNGH,2.51,2.5,2.51,2.51,2.51,2.51,0.0,76995.0,193257.45
2025-01-10,MTNGH,2.51,2.5,2.51,2.51,2.51,2.51,0.0,44425.0,111678.45
2025-01-13,MTNGH,2.55,2.5,2.51,2.51,2.55,2.55,0.04,35266.0,89798.18
2025-01-14,MTNGH,2.6,2.5,2.55,2.55,2.6,2.6,0.05,1645647.0,4271800.7
2025-01-15,MTNGH,2.6,2.5,2.6,2.6,2.6,2.6,0.0,72440.0,188344.0
2025-01-16,MTNGH,2.65,2.5,2.6,2.6,2.65,2.65,0.05,536944.0,1422595.0
2025-01-17,MTNGH,2.65,2.5,2.65,2.65,2.65,2.65,0.0,277061.0,733861.65
2025-01-20,MTNGH,2.65,2.5,2.65,2.65,2.65,2.65,0.0,78967.0,209262.55
2025-01-21,MTNGH,2.65,2.5,2.65,2.65,2.65,2.65,0.0,306684.0,812712.6
2025-01-22,MTNGH,2.65,2.5,2.65,2.65,2.65,2.65,0.0,963065.0,2552122.25
2025-01-23,MTNGH,2.65,2.5,2.65,2.65,2.65,2.65,0.0,144568.0,383105.2
2025-01-24,MTNGH,2.65,2.5,2.65,2.65,2.65,2.65,0.0,5318.0,14092.7
2025-01-27,MTNGH,2.65,2.5,2.65,2.65,2.65,2.65,0.0,53336.0,141340.4
2025-01-28,MTNGH,2.7,2.5,2.65,2.65,2.7,2.7,0.05,14951.0,40362.65
2025-01-29,MTNGH,2.7,2.5,2.7,2.7,2.7,2.7,0.0,23410.0,63260.5
2025-01-30,MTNGH,2.75,2.5,2.7,2.7,2.75,2.75,0.05,8067.0,22149.45
2025-01-31,MTNGH,2.75,2.5,2.75,2.75,2.75,2.75,0.0,6096.0,16764.0
2025-02-03,MTNGH,2.75,2.5,2.75,2.75,2.75,2.75,0.0,426625.0,1173218.75
2025-02-04,MTNGH,2.75,2.5,2.75,2.75,2.75,2.75,0.0,85985.0,236458.75
2025-02-05,MTNGH,2.75,2.5,2.75,2.75,2.75,2.75,0.0,67421.0,185407.75
2025-02-06,MTNGH,2.75,2.5,2.75,2.75,2.75,2.75,0.0,157674.0,433603.5
2025-02-07,MTNGH,2.75,2.5,2.75,2.75,2.75,2.75,0.0,12332.0,33913.0
2025-02-10,MTNGH,2.75,2.5,2.75,2.75,2.75,2.75,0.0,438573.0,1206075.75
