Metric,Baseline LSTM,Attention-LSTM
MAE,1.7379010915756226,2.8334333896636963
MSE,3.956655979156494,9.208850860595703
RMSE,1.9891344799074029,3.0346088480388542
MAPE,35.3094367980957,59.94584655761719
R2,-2.345573902130127,-6.7865986824035645
