train_loss,val_loss,MAE,RMSE,MAPE,R2,learning_rate
1.388282721764163,2.2401179121807218,0.3979012668132782,1.563155913964341,699.37225,-0.016303300857543945,0.001
1.085360496844116,2.199174005072564,0.3255641460418701,1.5532184350137153,244.11816,-0.003422379493713379,0.001
1.0246147822196547,2.1850694566965103,0.3467487096786499,1.5507241341861195,521.3132,-0.000202178955078125,0.001
1.0245228407316302,2.191540533211082,0.30915141105651855,1.5513555198517874,145.9747,-0.001016855239868164,0.001
0.9943934826082305,2.1968394638970494,0.30644461512565613,1.5526661216081903,97.71509,-0.002708911895751953,0.001
1.0327376669860984,2.1943604983389378,0.30083540081977844,1.552001473062347,62.928795,-0.001850724220275879,0.001
0.9977719876915216,2.1943688285537064,0.3008142113685608,1.5520033165021245,62.715214,-0.0018531084060668945,0.001
1.010978049034939,2.1957051563076675,0.3002539277076721,1.5523123689502376,51.80853,-0.0022521018981933594,0.001
0.9969738645871219,2.19593556644395,0.30107203125953674,1.5523663546524729,57.42674,-0.0023218393325805664,0.001
1.0019158070024692,2.195362988859415,0.2990199029445648,1.5522324236579566,43.333927,-0.002148866653442383,0.0005
0.99351367343868,2.1956744166091084,0.30014458298683167,1.5523051502360812,51.057304,-0.0022428035736083984,0.0005
0.9927003455691432,2.1956515894271433,0.30006277561187744,1.5522997745760725,50.49572,-0.002235889434814453,0.0005
1.0046359424136186,2.1953962380066514,0.29914045333862305,1.5522402570962146,44.161987,-0.0021588802337646484,0.0005
