Epoch,Train Loss,Validation Loss,MAE,RMSE,MAPE,R2,Learning Rate
1,0.2197922244668007,1.1268385127186775,0.9315747022628784,0.997911567250219,36.6739,-4.480579853057861,0.001
2,0.07253851824881215,1.0728021748363972,0.9085863828659058,0.9727170381356013,35.783295,-4.207334041595459,0.001
3,0.059146541317826824,0.7650626860558987,0.7531886100769043,0.8200319082750954,29.414738,-2.7008707523345947,0.001
4,0.04662666933022832,0.7807770315557718,0.7439502477645874,0.8215248594951489,28.86399,-2.7143585681915283,0.001
5,0.03836586894957643,0.7866428475826979,0.745405375957489,0.8240413384438273,28.9057,-2.7371490001678467,0.001
6,0.04158679606687082,0.6924871290102601,0.6894615888595581,0.7705361635433833,26.63507,-2.26759672164917,0.001
7,0.03850815435381312,1.0497673824429512,0.8960066437721252,0.9633872896536368,35.191334,-4.107921600341797,0.001
8,0.03525406029075384,1.139426089823246,0.9382885694503784,1.003580181440496,36.96526,-4.543021202087402,0.001
9,0.03193016088028487,0.9518949314951897,0.8470104932785034,0.9150844957600038,33.1999,-3.608555316925049,0.001
10,0.03175592275434419,0.6534144626930356,0.6654680371284485,0.7477464595571843,25.65412,-2.077167510986328,0.001
11,0.028515358381953678,0.7340055154636502,0.7231788039207458,0.7969129964708142,28.130106,-2.4951372146606445,0.001
12,0.029893571535419477,0.8641136847436428,0.7840041518211365,0.8636611171761529,30.441172,-3.1051511764526367,0.001
13,0.02876550192013383,0.8399637304246426,0.7699210047721863,0.8510372746952303,29.856379,-2.986020803451538,0.001
14,0.027324005544773843,0.8989006616175175,0.803754985332489,0.8821529186253038,31.274504,-3.282823085784912,0.001
15,0.020558369664573355,0.7064177757129073,0.6896402835845947,0.7754291361510448,26.561733,-2.309227705001831,0.001
16,0.021299808310638917,0.8874197546392679,0.7943387627601624,0.8749765665458673,30.844017,-3.2134246826171875,0.001
17,0.02188464852760693,0.7957749040797353,0.7418151497840881,0.8256744257927225,28.67697,-2.751976251602173,0.0005
18,0.02156002170063163,0.7677878644317389,0.7306825518608093,0.8114819016827026,28.289244,-2.6240992546081543,0.0005
19,0.020037164280534182,0.6552099040709436,0.651710569858551,0.7440770640223578,24.924023,-2.0470407009124756,0.0005
20,0.020847180368084656,0.7185590695589781,0.6994427442550659,0.7828190496783641,26.993387,-2.372602701187134,0.0005
