train_loss,val_loss,MAE,RMSE,MAPE,R2,learning_rate
1.0289718213638193,2.244930101558566,0.4063962697982788,1.5651926871437214,749.53455,-0.018953442573547363,0.001
0.9977963859901616,2.1883674785494804,0.3179781436920166,1.550634343566174,241.46284,-8.64267349243164e-05,0.001
0.9997526981720799,2.2300592567771673,0.3813084065914154,1.5617989302447974,596.3664,-0.014539480209350586,0.001
0.9947357329687005,2.210477133281529,0.3399198651313782,1.5561603106655961,304.97955,-0.007227063179016113,0.001
1.0005046670374118,2.1915106349624693,0.32264384627342224,1.5514332051874102,260.8358,-0.001117110252380371,0.001
0.993689396363487,2.2099298145622015,0.33543357253074646,1.5556165516717033,279.38892,-0.006523251533508301,0.001
0.9882647296119678,2.219123830087483,0.35498303174972534,1.5578994160455728,419.3539,-0.009479641914367676,0.001
0.9837177040202445,2.2356666084378958,0.38456958532333374,1.5624276716657997,602.51654,-0.015356659889221191,0.001
0.9852206752586522,2.2790838573127985,0.45285680890083313,1.5745240476291558,1027.2123,-0.031139254570007324,0.0005
0.9793655035134993,2.2088097287341952,0.33629703521728516,1.555529419172303,293.98187,-0.006410479545593262,0.0005
0.9792202964523121,2.209408299997449,0.336273729801178,1.555475083419191,295.02518,-0.0063402652740478516,0.0005
0.9719090448006203,2.227833468466997,0.3754963278770447,1.560367196711793,558.4159,-0.012680292129516602,0.0005
