model,MAE,MSE,RMSE,MAPE,R2
lstm_log_return,0.05800376138903878,0.01751525867150545,0.13234522534457166,1.2463293733045067,0.9851898725901926
attention_lstm_log_return,0.06213133683452359,0.017624683403948196,0.13275798809845002,1.3445847677352705,0.9850973478801867
naive_current_close,0.05740259740259739,0.017749783549783554,0.13322831361907855,1.2300429846798409,0.9849915687344969
