train_loss,val_loss,MAE,RMSE,MAPE,R2,learning_rate
0.13718914012669733,0.30144901014864445,0.504103422164917,0.5269026430238559,57.53668,-6.462557792663574,0.001
0.009762504861052883,0.2541100662201643,0.4451957941055298,0.4757826631271348,49.963005,-5.084770202636719,0.001
0.007382254385830541,0.20139436842873693,0.39084622263908386,0.4216997524362515,43.642006,-3.7800631523132324,0.001
0.005925209858871408,0.20580036751925945,0.3910601735115051,0.42481754327373034,43.439785,-3.851006031036377,0.001
0.0062496086374219315,0.2418543971143663,0.43272531032562256,0.4630633647538373,48.562416,-4.763785362243652,0.001
0.004863569004412152,0.2223468297161162,0.41025519371032715,0.44247184682716484,45.803062,-4.262574195861816,0.001
0.005359120997845342,0.27455631271004677,0.4594884514808655,0.492852654668658,51.414593,-5.529217720031738,0.001
0.004663927845142193,0.19095184723846614,0.36930009722709656,0.4066267650635127,40.696625,-3.4444589614868164,0.001
0.004327226375033588,0.21834135334938765,0.40338459610939026,0.43718878712440784,44.887974,-4.137655735015869,0.001
0.003379540392320211,0.23226953204721212,0.4184255003929138,0.45145724300692364,46.702003,-4.478481769561768,0.001
0.0036298736292672785,0.2350980113260448,0.41754230856895447,0.45312843650303997,46.39158,-4.5191168785095215,0.001
0.003251493733841926,0.19913249043747783,0.37574881315231323,0.41449380399953006,41.336185,-3.6180968284606934,0.001
0.003303173650668836,0.225645175203681,0.4077361524105072,0.44336653380139013,45.26247,-4.283877849578857,0.001
0.0029710600838849417,0.2324916971847415,0.4131951928138733,0.44988922172870466,45.814827,-4.440491199493408,0.001
0.002959397698041836,0.1964437155984342,0.3697528839111328,0.41076790751324715,40.491238,-3.5354456901550293,0.0005
0.003165189841590626,0.20406281691975892,0.3805360198020935,0.41956997697982107,41.8729,-3.7319021224975586,0.0005
0.002655037346381792,0.19610034581273794,0.3708172142505646,0.4107020243745525,40.693165,-3.5339908599853516,0.0005
0.002561086784178195,0.20239188731648028,0.3784794807434082,0.4177031341508212,41.621723,-3.689887523651123,0.0005
